Order_ID,Date,Time,Restaurant,Food_Item,Order_Amount,Discount_Percentage,Revenue,Delivery_Time_Minutes,Payment_Method,Delivery_Status,Month,Day_Name,Year,Revenue_Category
ZOMF874EDB2,2026-04-21,03:01,KFC,Biryani,1143.34,15,971.84,62,Upi,Delayed,4,Tuesday,2026,High
ZOM339D47F3,2026-04-24,17:05,Domino's,Burger,934.88,2,916.18,28,Cash,Delayed,4,Friday,2026,High
ZOM64A4B20D,2026-04-20,00:35,Biryani House,Pasta,394.4,34,260.3,43,Wallet,Cancelled,4,Monday,2026,Medium
ZOM71426B6D,2026-04-26,00:48,Pizza Hut,Sandwich,1232.03,27,899.38,24,Cash,Cancelled,4,Sunday,2026,High
ZOM4139A907,2026-04-04,02:24,Haldiram's,Sandwich,253.47,22,197.71,66,Upi,Delayed,4,Saturday,2026,Low
ZOM45A8CDDD,2026-04-15,17:07,McDonald's,Ice Cream,1462.9,24,1111.8,33,Wallet,Cancelled,4,Wednesday,2026,Very High
ZOM9D77D330,2026-04-19,06:45,Subway,Burger,215.99,14,185.75,69,Cash,Delivered,4,Sunday,2026,Low
ZOM50A42AD6,2026-04-13,08:29,Burger King,Fries,997.24,23,767.87,37,Cash,Delayed,4,Monday,2026,High
ZOM56E8C4C4,2026-04-09,22:59,Haldiram's,Biryani,1063.3,4,1020.77,49,Cash,Delivered,4,Thursday,2026,Very High
ZOM1DF199DD,2026-04-15,12:17,Barbeque Nation,Pasta,1485.54,40,891.32,58,Credit Card,Delivered,4,Wednesday,2026,High
ZOMAFAEA6F4,2026-04-08,01:51,McDonald's,Pasta,555.33,17,460.92,51,Credit Card,Delivered,4,Wednesday,2026,Medium
ZOMD631A633,2026-04-21,15:25,Burger King,Sandwich,1340.86,29,952.01,23,Cash,Delayed,4,Tuesday,2026,High
ZOM07FBCA8B,2026-04-18,17:16,Haldiram's,Coffee,1150.88,27,840.14,38,Cash,Delivered,4,Saturday,2026,High
ZOM99BA14A3,2026-04-17,15:05,Burger King,Biryani,1162.98,7,1081.57,65,Debit Card,Delayed,4,Friday,2026,Very High
ZOM64A65421,2026-04-03,12:24,Barbeque Nation,Sandwich,942.33,29,669.05,50,Upi,Delayed,4,Friday,2026,High
ZOMBBD179D2,2026-04-24,03:43,Pizza Hut,Burger,1341.01,17,1113.04,33,Debit Card,Delivered,4,Friday,2026,Very High
ZOM43E83F47,2026-04-15,00:46,Barbeque Nation,Biryani,1328.68,16,1116.09,47,Upi,Delayed,4,Wednesday,2026,Very High
ZOMD638B336,2026-04-10,20:32,Pizza Hut,Biryani,960.38,9,873.95,49,Wallet,Delivered,4,Friday,2026,High
ZOMC5ED6CB9,2026-04-20,10:31,Subway,Pasta,146.88,23,113.1,18,Cash,Delayed,4,Monday,2026,Low
ZOM09D5E9C8,2026-04-03,02:46,Barbeque Nation,Biryani,790.67,4,759.04,23,Debit Card,Delayed,4,Friday,2026,High
ZOMDB5425D0,2026-04-06,08:33,KFC,Ice Cream,1323.96,27,966.49,63,Cash,Delayed,4,Monday,2026,High
ZOM59D73F9F,2026-04-10,12:42,Barbeque Nation,Noodles,1016.83,28,732.12,22,Cash,Delivered,4,Friday,2026,High
ZOM51B72938,2026-04-03,10:01,Haldiram's,Pasta,931.87,14,801.41,15,Upi,Delayed,4,Friday,2026,High
ZOM5EC91DB4,2026-04-21,01:14,Pizza Hut,Burger,213.01,2,208.75,47,Cash,Cancelled,4,Tuesday,2026,Medium
ZOMBDAF0431,2026-04-22,15:13,Haldiram's,Noodles,864.14,36,553.05,30,Debit Card,Cancelled,4,Wednesday,2026,High
ZOM2A7BAA1D,2026-04-07,03:06,Biryani House,Coffee,1029.4,22,802.93,44,Upi,Delayed,4,Tuesday,2026,High
ZOM529DDAF3,2026-04-21,20:06,McDonald's,Pasta,203.65,21,160.88,27,Cash,Delayed,4,Tuesday,2026,Low
ZOMDF68A416,2026-04-15,04:27,KFC,Burger,373.21,29,264.98,43,Wallet,Delivered,4,Wednesday,2026,Medium
ZOMB35976B3,2026-04-02,20:34,KFC,Biryani,1273.72,5,1210.03,41,Debit Card,Cancelled,4,Thursday,2026,Very High
ZOM8EB4BC3A,2026-04-07,12:57,Domino's,Coffee,200.92,24,152.7,31,Debit Card,Cancelled,4,Tuesday,2026,Low
ZOM3B6043AB,2026-04-14,22:46,Cafe Coffee Day,Biryani,1493.68,35,970.89,27,Credit Card,Delivered,4,Tuesday,2026,High
ZOMED3E0B0B,2026-04-02,18:47,Domino's,Pizza,868.23,20,694.58,52,Debit Card,Delayed,4,Thursday,2026,High
ZOMB54951BD,2026-04-30,16:10,McDonald's,Biryani,198.49,32,134.97,19,Wallet,Delivered,4,Thursday,2026,Low
ZOM60F18C51,2026-04-22,07:25,KFC,Paneer Tikka,285.44,36,182.68,53,Upi,Delayed,4,Wednesday,2026,Low
ZOM69A4C870,2026-04-03,13:42,Pizza Hut,Sandwich,925.47,33,620.06,28,Credit Card,Delivered,4,Friday,2026,High
ZOME500B735,2026-04-09,12:08,Cafe Coffee Day,Fries,1046.93,19,848.01,63,Upi,Delivered,4,Thursday,2026,High
ZOME7134D73,2026-04-15,19:36,Barbeque Nation,Pasta,1494.61,4,1434.83,47,Credit Card,Delivered,4,Wednesday,2026,Very High
ZOM1B4007C1,2026-04-30,11:56,Pizza Hut,Sandwich,214.93,15,182.69,25,Debit Card,Delayed,4,Thursday,2026,Low
ZOM5C1206C5,2026-04-23,09:39,Domino's,Ice Cream,1477.72,33,990.07,34,Upi,Delivered,4,Thursday,2026,High
ZOMDB2DC230,2026-04-09,03:56,Burger King,Sandwich,267.71,35,174.01,33,Wallet,Delivered,4,Thursday,2026,Low
ZOMC6996833,2026-04-23,10:13,Barbeque Nation,Noodles,1068.75,16,897.75,31,Upi,Delivered,4,Thursday,2026,High
ZOME7F027A8,2026-04-21,13:53,Pizza Hut,Biryani,501.82,0,501.82,55,Credit Card,Delivered,4,Tuesday,2026,High
ZOM2B1380FA,2026-04-24,14:35,Domino's,Burger,1093.82,35,710.98,19,Cash,Delayed,4,Friday,2026,High
ZOM86E63EE8,2026-04-02,11:37,Burger King,Pizza,882.48,27,644.21,34,Credit Card,Delivered,4,Thursday,2026,High
ZOMFACC5536,2026-04-29,11:13,Pizza Hut,Ice Cream,1061.25,6,997.57,70,Debit Card,Delayed,4,Wednesday,2026,High
ZOM394BF46B,2026-04-24,04:59,Burger King,Coffee,1403.24,10,1262.92,16,Cash,Delayed,4,Friday,2026,Very High
ZOM30E47B93,2026-04-30,10:50,Subway,Biryani,1404.53,15,1193.85,65,Upi,Cancelled,4,Thursday,2026,Very High
ZOM53D6D68F,2026-04-28,01:54,Cafe Coffee Day,Fries,769.55,12,677.2,34,Cash,Delivered,4,Tuesday,2026,High
ZOM70B2C3EC,2026-04-01,21:12,McDonald's,Sandwich,669.88,17,556.0,37,Wallet,Cancelled,4,Wednesday,2026,High
ZOM069EAD40,2026-04-22,17:21,Subway,Biryani,1416.15,7,1317.02,52,Credit Card,Delivered,4,Wednesday,2026,Very High
ZOM3C2480C5,2026-04-04,19:27,Biryani House,Paneer Tikka,597.05,20,477.64,47,Upi,Cancelled,4,Saturday,2026,Medium
ZOMA79DD4DA,2026-04-29,18:12,Domino's,Ice Cream,471.52,27,344.21,66,Wallet,Delayed,4,Wednesday,2026,Medium
ZOM2EFDD8E9,2026-04-24,23:47,Biryani House,Burger,1045.47,23,805.01,57,Credit Card,Delayed,4,Friday,2026,High
ZOM4415F570,2026-04-11,21:54,Barbeque Nation,Sandwich,291.98,19,236.5,57,Debit Card,Cancelled,4,Saturday,2026,Medium
ZOM06B90366,2026-04-13,22:18,Biryani House,Coffee,885.09,12,778.88,58,Cash,Delayed,4,Monday,2026,High
ZOMBB077527,2026-04-19,09:25,Subway,Sandwich,876.15,0,876.15,28,Debit Card,Delayed,4,Sunday,2026,High
ZOMECD2B86A,2026-04-20,20:20,KFC,Ice Cream,761.68,28,548.41,45,Cash,Delayed,4,Monday,2026,High
ZOM5480A1CF,2026-04-03,09:32,Pizza Hut,Burger,1036.12,39,632.03,67,Cash,Delayed,4,Friday,2026,High
ZOM229461F7,2026-04-10,07:51,Domino's,Pasta,394.8,1,390.85,45,Wallet,Delivered,4,Friday,2026,Medium
ZOM32E2963E,2026-04-15,13:56,Biryani House,Noodles,989.08,12,870.39,40,Cash,Delivered,4,Wednesday,2026,High
ZOM47E20DE3,2026-04-21,22:00,Biryani House,Pasta,1351.87,6,1270.76,26,Wallet,Cancelled,4,Tuesday,2026,Very High
ZOM20EA6228,2026-04-02,17:15,Cafe Coffee Day,Biryani,1386.11,7,1289.08,66,Debit Card,Delayed,4,Thursday,2026,Very High
ZOMCC11105D,2026-04-17,17:38,Haldiram's,Ice Cream,557.87,28,401.67,42,Wallet,Cancelled,4,Friday,2026,Medium
ZOMDC400968,2026-04-29,05:47,Subway,Pasta,1308.86,28,942.38,68,Credit Card,Delayed,4,Wednesday,2026,High
ZOM903ADFED,2026-04-16,20:15,Subway,Pasta,498.94,4,478.98,32,Credit Card,Cancelled,4,Thursday,2026,Medium
ZOM2A2CC0FC,2026-04-29,17:05,Biryani House,Biryani,310.96,14,267.43,60,Cash,Delivered,4,Wednesday,2026,Medium
ZOM48EE329D,2026-04-14,13:21,Domino's,Pasta,868.8,26,642.91,68,Debit Card,Cancelled,4,Tuesday,2026,High
ZOMF1D76777,2026-04-29,18:44,Biryani House,Noodles,146.95,36,94.05,15,Credit Card,Cancelled,4,Wednesday,2026,Low
ZOM67C74F94,2026-04-25,12:54,Barbeque Nation,Ice Cream,1350.47,26,999.35,66,Wallet,Delivered,4,Saturday,2026,High
ZOMCD019C10,2026-04-16,07:17,Biryani House,Fries,721.45,1,714.24,57,Debit Card,Delayed,4,Thursday,2026,High
ZOM2F5A9930,2026-04-06,14:58,Barbeque Nation,Pizza,296.13,39,180.64,40,Wallet,Delayed,4,Monday,2026,Low
ZOMFA708C2B,2026-04-22,00:05,Cafe Coffee Day,Biryani,1006.99,8,926.43,18,Credit Card,Cancelled,4,Wednesday,2026,High
ZOMCCD486FA,2026-04-11,06:29,Subway,Coffee,571.05,24,434.0,31,Upi,Cancelled,4,Saturday,2026,Medium
ZOMECDA622D,2026-04-01,23:34,KFC,Burger,191.88,22,149.67,64,Upi,Delivered,4,Wednesday,2026,Low
ZOM2DCAF648,2026-04-08,06:53,KFC,Biryani,148.12,9,134.79,45,Upi,Delayed,4,Wednesday,2026,Low
ZOMEC1C6305,2026-04-07,14:44,Burger King,Paneer Tikka,473.62,23,364.69,53,Upi,Delivered,4,Tuesday,2026,Medium
ZOM924B1C3C,2026-04-10,03:37,Haldiram's,Coffee,155.44,19,125.91,40,Cash,Delivered,4,Friday,2026,Low
ZOMF70035ED,2026-04-19,22:53,Subway,Paneer Tikka,985.59,6,926.45,66,Upi,Delayed,4,Sunday,2026,High
ZOM242F1B33,2026-04-26,01:22,McDonald's,Ice Cream,855.19,23,658.5,56,Credit Card,Delivered,4,Sunday,2026,High
ZOMB1AEDD55,2026-04-28,13:52,Pizza Hut,Noodles,796.48,27,581.43,60,Cash,Cancelled,4,Tuesday,2026,High
ZOM2048CD39,2026-04-06,23:33,Haldiram's,Ice Cream,1452.35,17,1205.45,64,Debit Card,Cancelled,4,Monday,2026,Very High
ZOMF2FD99D4,2026-04-14,23:37,McDonald's,Sandwich,490.39,15,416.83,43,Cash,Cancelled,4,Tuesday,2026,Medium
ZOM2F35E0A7,2026-04-19,19:42,Cafe Coffee Day,Fries,643.01,1,636.58,26,Debit Card,Delivered,4,Sunday,2026,High
ZOM54E3EA36,2026-04-12,08:21,Subway,Ice Cream,505.93,38,313.68,15,Wallet,Delivered,4,Sunday,2026,Medium
ZOME64A910F,2026-04-03,07:46,KFC,Noodles,680.87,35,442.57,56,Debit Card,Cancelled,4,Friday,2026,Medium
ZOM8E869A3B,2026-04-26,00:05,KFC,Sandwich,526.05,25,394.54,57,Wallet,Cancelled,4,Sunday,2026,Medium
ZOM92C4B850,2026-04-16,17:33,Pizza Hut,Fries,594.39,35,386.35,59,Debit Card,Cancelled,4,Thursday,2026,Medium
ZOMED56C796,2026-04-10,08:14,Pizza Hut,Burger,286.51,12,252.13,62,Wallet,Delayed,4,Friday,2026,Medium
ZOM91D9B633,2026-04-06,06:13,Haldiram's,Ice Cream,1139.27,17,945.59,53,Credit Card,Delivered,4,Monday,2026,High
ZOMF717F1F0,2026-04-27,06:18,Subway,Pizza,433.93,11,386.2,60,Wallet,Delivered,4,Monday,2026,Medium
ZOM2D7363B0,2026-04-09,01:03,Cafe Coffee Day,Burger,883.64,8,812.95,70,Upi,Delayed,4,Thursday,2026,High
ZOMF66BE5BC,2026-04-10,15:30,Domino's,Sandwich,727.85,11,647.79,70,Debit Card,Delivered,4,Friday,2026,High
ZOMF78C0F4C,2026-04-27,02:25,Domino's,Biryani,798.61,36,511.11,24,Wallet,Cancelled,4,Monday,2026,High
ZOMBB6931A6,2026-04-03,07:07,Haldiram's,Paneer Tikka,890.14,26,658.7,65,Wallet,Delivered,4,Friday,2026,High
ZOM4EC16473,2026-04-25,16:24,Subway,Paneer Tikka,741.71,28,534.03,42,Credit Card,Delayed,4,Saturday,2026,High
ZOM7A97E7CE,2026-04-20,01:39,KFC,Pasta,1444.95,6,1358.25,31,Upi,Delivered,4,Monday,2026,Very High
ZOMA972BD59,2026-04-08,05:35,Biryani House,Noodles,223.59,0,223.59,59,Wallet,Cancelled,4,Wednesday,2026,Medium
ZOM34D6007B,2026-04-10,01:14,Cafe Coffee Day,Burger,517.58,18,424.42,58,Cash,Cancelled,4,Friday,2026,Medium
ZOM6624F76F,2026-04-26,20:37,Biryani House,Burger,1032.43,12,908.54,49,Cash,Delayed,4,Sunday,2026,High
ZOMC328DF25,2026-04-05,08:52,Burger King,Sandwich,316.29,3,306.8,53,Wallet,Cancelled,4,Sunday,2026,Medium
ZOMAEC4AE29,2026-04-15,03:29,Subway,Ice Cream,1070.38,25,802.79,49,Debit Card,Cancelled,4,Wednesday,2026,High
ZOMD1A1A513,2026-04-03,19:02,Haldiram's,Sandwich,1347.4,20,1077.92,16,Upi,Delivered,4,Friday,2026,Very High
ZOMF5B1D11C,2026-04-22,18:37,Haldiram's,Pizza,1432.09,17,1188.63,63,Cash,Cancelled,4,Wednesday,2026,Very High
ZOM389B8AFB,2026-04-17,20:28,Haldiram's,Coffee,1384.18,11,1231.92,55,Debit Card,Delivered,4,Friday,2026,Very High
ZOM22703F71,2026-04-16,11:26,Burger King,Fries,579.97,6,545.17,41,Debit Card,Cancelled,4,Thursday,2026,High
ZOM3B696AF7,2026-04-22,12:52,Cafe Coffee Day,Burger,1169.49,2,1146.1,35,Credit Card,Cancelled,4,Wednesday,2026,Very High
ZOMA3BD0859,2026-04-04,12:55,Barbeque Nation,Noodles,830.14,0,830.14,41,Upi,Delivered,4,Saturday,2026,High
ZOM6FC3EE52,2026-04-17,11:39,Cafe Coffee Day,Pizza,1163.89,40,698.33,28,Credit Card,Delayed,4,Friday,2026,High
ZOMCFC76DE9,2026-04-05,09:28,McDonald's,Pizza,1335.57,31,921.54,55,Wallet,Delivered,4,Sunday,2026,High
ZOM9DDE7873,2026-04-23,05:19,Biryani House,Burger,880.16,35,572.1,29,Upi,Cancelled,4,Thursday,2026,High
ZOMB8B244C8,2026-04-04,20:53,Barbeque Nation,Sandwich,332.48,18,272.63,41,Debit Card,Cancelled,4,Saturday,2026,Medium
ZOMDF3B4E74,2026-04-08,14:35,Haldiram's,Ice Cream,319.61,12,281.26,62,Cash,Delivered,4,Wednesday,2026,Medium
ZOM53E8AB50,2026-04-09,13:21,Subway,Pizza,1409.26,32,958.3,33,Credit Card,Delayed,4,Thursday,2026,High
ZOMFA382EE4,2026-04-19,21:31,Barbeque Nation,Noodles,1314.06,28,946.12,37,Credit Card,Delayed,4,Sunday,2026,High
ZOM1B094ACC,2026-04-25,17:24,KFC,Pasta,748.38,20,598.7,51,Debit Card,Delivered,4,Saturday,2026,High
ZOM45BEEEC8,2026-04-28,13:02,Biryani House,Coffee,559.08,30,391.36,57,Cash,Cancelled,4,Tuesday,2026,Medium
ZOM9FDBE7B1,2026-04-02,04:32,McDonald's,Noodles,1452.19,21,1147.23,21,Wallet,Cancelled,4,Thursday,2026,Very High
ZOMC3CCC199,2026-04-01,23:09,McDonald's,Noodles,685.77,9,624.05,65,Credit Card,Cancelled,4,Wednesday,2026,High
ZOM7029A399,2026-04-20,22:25,Barbeque Nation,Coffee,1016.77,21,803.25,35,Debit Card,Delayed,4,Monday,2026,High
ZOM13F546DF,2026-04-02,19:04,KFC,Burger,443.98,18,364.06,42,Upi,Delayed,4,Thursday,2026,Medium
ZOMA9D2BFC0,2026-04-23,03:28,Domino's,Pizza,349.58,19,283.16,35,Upi,Cancelled,4,Thursday,2026,Medium
ZOMBACE0C6E,2026-04-12,11:27,Biryani House,Paneer Tikka,320.89,33,215.0,58,Cash,Delivered,4,Sunday,2026,Medium
