Order_ID,Date,Time,Restaurant_Name,Food_Item,Order_Amount,Discount_Percentage,Final_Amount,Delivery_Time_Minutes,Payment_Method,Delivery_Status
ZOMF874EDB2,21-04-2026,03:01,KFC,Biryani,1143.34,15,971.84,62,UPI,Delayed
ZOM339D47F3,24-04-2026,17:05,Domino's,Burger,934.88,2,916.18,28,Cash,Delayed
ZOM64A4B20D,20-04-2026,00:35,Biryani House,Pasta,394.4,34,260.3,43,Wallet,Cancelled
ZOM71426B6D,26-04-2026,00:48,Pizza Hut,Sandwich,1232.03,27,899.38,24,Cash,Cancelled
ZOM4139A907,04-04-2026,02:24,Haldiram's,Sandwich,253.47,22,197.71,66,UPI,Delayed
ZOM45A8CDDD,15-04-2026,17:07,McDonald's,Ice Cream,1462.9,24,1111.8,33,Wallet,Cancelled
ZOM9D77D330,19-04-2026,06:45,Subway,Burger,215.99,14,185.75,69,Cash,Delivered
ZOM50A42AD6,13-04-2026,08:29,Burger King,Fries,997.24,23,767.87,37,Cash,Delayed
ZOM56E8C4C4,09-04-2026,22:59,Haldiram's,Biryani,1063.3,4,1020.77,49,Cash,Delivered
ZOM1DF199DD,15-04-2026,12:17,Barbeque Nation,Pasta,1485.54,40,891.32,58,Credit Card,Delivered
ZOMAFAEA6F4,08-04-2026,01:51,McDonald's,Pasta,555.33,17,460.92,51,Credit Card,Delivered
ZOMD631A633,21-04-2026,15:25,Burger King,Sandwich,1340.86,29,952.01,23,Cash,Delayed
ZOM07FBCA8B,18-04-2026,17:16,Haldiram's,Coffee,1150.88,27,840.14,38,Cash,Delivered
ZOM99BA14A3,17-04-2026,15:05,Burger King,Biryani,1162.98,7,1081.57,65,Debit Card,Delayed
ZOM64A65421,03-04-2026,12:24,Barbeque Nation,Sandwich,942.33,29,669.05,50,UPI,Delayed
ZOMBBD179D2,24-04-2026,03:43,Pizza Hut,Burger,1341.01,17,1113.04,33,Debit Card,Delivered
ZOM43E83F47,15-04-2026,00:46,Barbeque Nation,Biryani,1328.68,16,1116.09,47,UPI,Delayed
ZOMD638B336,10-04-2026,20:32,Pizza Hut,Biryani,960.38,9,873.95,49,Wallet,Delivered
ZOMC5ED6CB9,20-04-2026,10:31,Subway,Pasta,146.88,23,113.1,18,Cash,Delayed
ZOM09D5E9C8,03-04-2026,02:46,Barbeque Nation,Biryani,790.67,4,759.04,23,Debit Card,Delayed
ZOMDB5425D0,06-04-2026,08:33,KFC,Ice Cream,1323.96,27,966.49,63,Cash,Delayed
ZOM59D73F9F,10-04-2026,12:42,Barbeque Nation,Noodles,1016.83,28,732.12,22,Cash,Delivered
ZOM51B72938,03-04-2026,10:01,Haldiram's,Pasta,931.87,14,801.41,15,UPI,Delayed
ZOM5EC91DB4,21-04-2026,01:14,Pizza Hut,Burger,213.01,2,208.75,47,Cash,Cancelled
ZOMBDAF0431,22-04-2026,15:13,Haldiram's,Noodles,864.14,36,553.05,30,Debit Card,Cancelled
ZOM2A7BAA1D,07-04-2026,03:06,Biryani House,Coffee,1029.4,22,802.93,44,UPI,Delayed
ZOM529DDAF3,21-04-2026,20:06,McDonald's,Pasta,203.65,21,160.88,27,Cash,Delayed
ZOMDF68A416,15-04-2026,04:27,KFC,Burger,373.21,29,264.98,43,Wallet,Delivered
ZOMB35976B3,02-04-2026,20:34,KFC,Biryani,1273.72,5,1210.03,41,Debit Card,Cancelled
ZOM8EB4BC3A,07-04-2026,12:57,Domino's,Coffee,200.92,24,152.7,31,Debit Card,Cancelled
ZOM3B6043AB,14-04-2026,22:46,Cafe Coffee Day,Biryani,1493.68,35,970.89,27,Credit Card,Delivered
ZOMED3E0B0B,02-04-2026,18:47,Domino's,Pizza,868.23,20,694.58,52,Debit Card,Delayed
ZOMB54951BD,30-04-2026,16:10,McDonald's,Biryani,198.49,32,134.97,19,Wallet,Delivered
ZOM60F18C51,22-04-2026,07:25,KFC,Paneer Tikka,285.44,36,182.68,53,UPI,Delayed
ZOM69A4C870,03-04-2026,13:42,Pizza Hut,Sandwich,925.47,33,620.06,28,Credit Card,Delivered
ZOME500B735,09-04-2026,12:08,Cafe Coffee Day,Fries,1046.93,19,848.01,63,UPI,Delivered
ZOME7134D73,15-04-2026,19:36,Barbeque Nation,Pasta,1494.61,4,1434.83,47,Credit Card,Delivered
ZOM1B4007C1,30-04-2026,11:56,Pizza Hut,Sandwich,214.93,15,182.69,25,Debit Card,Delayed
ZOM5C1206C5,23-04-2026,09:39,Domino's,Ice Cream,1477.72,33,990.07,34,UPI,Delivered
ZOMDB2DC230,09-04-2026,03:56,Burger King,Sandwich,267.71,35,174.01,33,Wallet,Delivered
ZOMC6996833,23-04-2026,10:13,Barbeque Nation,Noodles,1068.75,16,897.75,31,UPI,Delivered
ZOME7F027A8,21-04-2026,13:53,Pizza Hut,Biryani,501.82,0,501.82,55,Credit Card,Delivered
ZOM2B1380FA,24-04-2026,14:35,Domino's,Burger,1093.82,35,710.98,19,Cash,Delayed
ZOM86E63EE8,02-04-2026,11:37,Burger King,Pizza,882.48,27,644.21,34,Credit Card,Delivered
